Сер-т Европейский в/ Груп м/атм;Сер-т Европейский в/ Груп м/атм
Сер-т Баварский в/с Вак/порцКо;Сер-т Баварский в/с Вак/порцКо
К.и.в/к Георгиевская Модиф. атм;К.и.в/к Георгиевская Модиф. атм
К-са Свиная с/к в/с Вак.Уп/Кор;К-са Свиная с/к в/с Вак.Уп/Кор
Балт нов в/с с/в С/н м/а/ко 90;Балт нов в/с с/в С/н м/а/ко 90
К-са Княжица с/в С/н м/а/ко 90;К-са Княжица с/в С/н м/а/ко 90
Княжица с брусникой Вак.Уп/Кор;Княжица с брусникой Вак.Уп/Кор
Бабушкин гостинец н Гофрокороб;Бабушкин гостинец н Гофрокороб
Карпаччо из вырезки ВакП/упКор;Карпаччо из вырезки ВакП/упКор
Ребрышки Классически Модиф. атм;Ребрышки Классически Модиф. атм
Славянский с грибами Модиф. атм;Славянский с грибами Модиф. атм
Тирольские в/с Мод.ат.Кор 570;Тирольские в/с Мод.ат.Кор 570
Сард. Домашние по ТУ Модиф. атм;Сард. Домашние по ТУ Модиф. атм
Шпикачки Купеческие Модиф. атм;Шпикачки Купеческие Модиф. атм
Сард. С телятиной вс Модиф. атм;Сард. С телятиной вс Модиф. атм
Копченая на дровах М/атП/уКор;Копченая на дровах М/атП/уКор
П/к К-ка Обеденная Мод/ат п/у;П/к К-ка Обеденная Мод/ат п/у
К-са п/к Краковская Газ.среда;К-са п/к Краковская Газ.среда
К-са Баварская с/к Вак.Уп/Кор;К-са Баварская с/к Вак.Уп/Кор
Пр-т с/к Миланский Вак/порцКо;Пр-т с/к Миланский Вак/порцКо
Пр-т с/к Испанский Вак/порцКо;Пр-т с/к Испанский Вак/порцКо
Бекон Классический Вак/порцКо;Бекон Классический Вак/порцКо
Филей К празднику кв Вак. упак.;Филей К празднику кв Вак. упак.
Ветчина Гармония к/в Вак. упак.;Ветчина Гармония к/в Вак. упак.
Балычок Слонимский П/упак/вак;Балычок Слонимский П/упак/вак
П-т к/в Бочок Беконн Вак. упак.;П-т к/в Бочок Беконн Вак. упак.
Ветчина Аппетитная к Вак. упак.;Ветчина Аппетитная к Вак. упак.
Бекон по-Английски Вак/порцКо;Бекон по-Английски Вак/порцКо
Лопатка по-Домашнему Вак. упак.;Лопатка по-Домашнему Вак. упак.
Рулет Домашний Слоен Вак. упак.;Рулет Домашний Слоен Вак. упак.
Мортаделла прем СусМ основная;Мортаделла прем СусМ основная
Мортад оригинал в/с п/а основ;Мортад оригинал в/с п/а основ
Филейная новая в/с Модиф. атм;Филейная новая в/с Модиф. атм
Славянская в/с П/а короб 500;Славянская в/с П/а короб 500
Волковыс нов с сыр Газ.среда;Волковыс нов с сыр Газ.среда
Ветчинные в/с Вак.Уп/Кор 300;Ветчинные в/с Вак.Уп/Кор 300
Итальянские в/с Вак. упак. 250;Итальянские в/с Вак. упак. 250
Копченая на дровах Модиф. атм;Копченая на дровах Модиф. атм
П/к К-ка Обеденная Модиф. атм;П/к К-ка Обеденная Модиф. атм
Сер-т Барбадос в/с Модиф. атм;Сер-т Барбадос в/с Модиф. атм
К-са Брестская в/с Модиф. атм;К-са Брестская в/с Модиф. атм
Балыковая в/с Вак/порцКо 270;Балыковая в/с Вак/порцКо 270
К-ка Валенсия в/с Вак.Уп/Кор;К-ка Валенсия в/с Вак.Уп/Кор
Фемино с сыром С/н м/а/ко 90;Фемино с сыром С/н м/а/ко 90
Филей Праздничн с/к Вак. упак.;Филей Праздничн с/к Вак. упак.
Пр-т с/к Поркетта Вак/порцКо;Пр-т с/к Поркетта Вак/порцКо
Полендвица Домашняя Вак. упак.;Полендвица Домашняя Вак. упак.
Рулет Балерон в/с Мод.ат.Кор;Рулет Балерон в/с Мод.ат.Кор
Карпаччо гов сол Вак. упак. 90;Карпаччо гов сол Вак. упак. 90
Крылышки Домашние к/ Вак. упак.;Крылышки Домашние к/ Вак. упак.
Бедрышки Домашние к/ Вак. упак.;Бедрышки Домашние к/ Вак. упак.
Грудка Домашняя к/в Вак. упак.;Грудка Домашняя к/в Вак. упак.
Голень Домашняя к/в Вак. упак.;Голень Домашняя к/в Вак. упак.
соб/сок говядина в/с ж/б 338;соб/сок говядина в/с ж/б 338
Свинина туш кусковая ж/б 338;Свинина туш кусковая ж/б 338
Свинина в/с соб соку ж/б 338;Свинина в/с соб соку ж/б 338
Берлинки в/с Вак.Уп/Кор 500;Берлинки в/с Вак.Уп/Кор 500
Ла-Манча в/с Мод.ат.Кор 180;Ла-Манча в/с Мод.ат.Кор 180
